iCase,Fr,beta,Cd,alpha_simple,alpha_SRH_2D,bConverged_simple,bConverged_SRH_2D
0.00,0.05,0.05,0.00,0.05,0.05,1.00,1.00
1.00,0.05,0.05,8.89,0.14,0.11,1.00,1.00
2.00,0.05,0.05,17.78,0.19,0.14,1.00,1.00
3.00,0.05,0.05,26.67,0.22,0.17,1.00,1.00
4.00,0.05,0.05,35.56,0.24,0.18,1.00,1.00
5.00,0.05,0.05,44.44,0.26,0.20,1.00,1.00
6.00,0.05,0.05,53.33,0.28,0.21,1.00,1.00
7.00,0.05,0.05,62.22,0.29,0.22,1.00,1.00
8.00,0.05,0.05,71.11,0.31,0.23,1.00,1.00
9.00,0.05,0.05,80.00,0.32,0.24,1.00,1.00
10.00,0.05,0.15,0.00,0.15,0.15,1.00,1.00
11.00,0.05,0.15,8.89,0.36,0.30,1.00,1.00
12.00,0.05,0.15,17.78,0.43,0.36,1.00,1.00
13.00,0.05,0.15,26.67,0.48,0.40,1.00,1.00
14.00,0.05,0.15,35.56,0.52,0.43,1.00,1.00
15.00,0.05,0.15,44.44,0.54,0.46,1.00,1.00
16.00,0.05,0.15,53.33,0.56,0.48,1.00,1.00
17.00,0.05,0.15,62.22,0.58,0.49,1.00,1.00
18.00,0.05,0.15,71.11,0.60,0.51,1.00,1.00
19.00,0.05,0.15,80.00,0.61,0.52,1.00,1.00
20.00,0.05,0.25,0.00,0.25,0.25,1.00,1.00
21.00,0.05,0.25,8.89,0.51,0.44,1.00,1.00
22.00,0.05,0.25,17.78,0.59,0.52,1.00,1.00
23.00,0.05,0.25,26.67,0.64,0.56,1.00,1.00
24.00,0.05,0.25,35.56,0.67,0.59,1.00,1.00
25.00,0.05,0.25,44.44,0.69,0.61,1.00,1.00
26.00,0.05,0.25,53.33,0.71,0.63,1.00,1.00
27.00,0.05,0.25,62.22,0.73,0.65,1.00,1.00
28.00,0.05,0.25,71.11,0.74,0.66,1.00,1.00
29.00,0.05,0.25,80.00,0.75,0.67,1.00,1.00
